Filename,SNR,SN_Name,Age_(days),Age_Unc_(days),redshift,Dm15,Subtype,dm15,bootstrap_age,snid_std_dev,delta_age,delta_age_unc,MJD
sn2007hj-20071013.20-fast.flm,22.98,2007hj,36.7741299418275,0.1971803214039239,0.0143,1.95,N,1.95,33.75,1.3609,-3.0241299418275034,1.375110500704927,54386.2
sn2006H-20060131.11-fast.flm,31.89,2006H,13.323471400396487,0.3944773175542406,0.014,1.83,91bg,1.83,27.5,0.8425,14.176528599603513,0.9302787776063632,53766.11
sn2002bo-20020604.17-fast.flm,25.1,2002bo,72.15971323309884,0.6970028875833914,0.0043,1.08,HV,1.08,75.2,3.064,3.0402867669011613,3.1422776811255217,52429.17
sn2003kf-20040118.25-fast.flm,53.91,2003kf,41.14552312884364,0.3970617431010522,0.0074,1.1,N,1.1,41.85,0.9513,0.7044768711563592,1.0308393268761364,53022.25
sn2005lu-20051223.16-fast.flm,28.1,2005lu,16.624685138542425,0.5812826971517148,0.0322,0.74,,0.74,15.0,0.7639,-1.624685138542425,0.9599129043866284,53727.16
sn2005ke-20051125.30-fast.flm,133.63,2005ke,0.4977600796416128,0.6968641114982578,0.0045,1.82,91bg,1.82,4.35,0.7813,3.852239920358387,1.046923722099302,53699.3
sn2001da-20010912.32-fast.flm,24.82,2001da,56.84231222964973,1.2780180888714117,0.0172,1.12,N,1.12,55.1,1.8544,-1.7423122296497269,2.2521388934705016,52164.32
sn2001fe-20020107.34-fast.flm,18.47,2001fe,51.45056246299528,0.0986777185711466,0.0134,1.0,N,1.0,53.1,1.4523,1.6494375370047225,1.45564850913344,52281.34
sn1998bu-19981114.51-fast.flm,15.04,1998bu,178.29295044371818,0.4985541928407618,0.0029,1.03,N,1.03,215.95,17.5721,37.657049556281805,17.579171046815578,51131.51
sn1998bu-19980520.15-fast.flm,264.66,1998bu,0.4486987735610386,0.4985541928407618,0.0029,1.03,N,1.03,-0.7,0.6981,-1.1486987735610386,0.8578460778013173,50953.15
sn2002fk-20021103.37-mmt.flm,14.64,2002fk,33.22084367245773,0.3970223325062034,0.0075,1.13,N,1.13,30.1,1.0357,-3.120843672457731,1.1091894439223025,52581.37
sn2007bd-20070415.20-fast.flm,48.63,2007bd,-1.2609117361812905,0.0969932104752667,0.031,1.3,HV,1.3,-0.7,0.7022,0.5609117361812905,0.7088670699632615,54205.2
sn1997bq-19970409.15-fast.flm,63.59,1997bq,-10.650946200336866,0.4953928465272961,0.0093,1.14,HV,1.14,0.28,1.002,10.930946200336866,1.1177737125153808,50547.15
sn2001V-20010223.33-fast.flm,107.86,2001V,-9.32913013496322,0.3940498473056842,0.0151,0.82,91T,0.82,-7.1,0.6225,2.2291301349632207,0.7367370848285248,51963.33
sn1996bo-19961111.27-fast.flm,25.0,1996bo,11.079433739674398,0.4915454187966968,0.0172,1.16,HV,1.16,12.3,0.4335,1.220566260325603,0.6553923624364416,50398.27
