# Wavelength in nm, Data in W / (nm m2)
#wavelength data
367.2671299029631 1.0763785727878227e-14
367.41522243918956 7.488981823830248e-15
367.56331497541606 4.7107671001635636e-15
367.7114075116425 1.8847230616932255e-15
367.85950004786895 1.2056379454775249e-15
368.0075925840954 4.741183338440115e-15
368.15568512032183 6.262182896681428e-15
368.3037776565483 3.7753007392899994e-15
368.4518701927748 5.994448349020331e-15
368.5999627290012 3.771849567402642e-15
368.74805526522766 -3.0115051766367878e-15
368.8961478014541 5.195996519866444e-15
369.04424033768055 6.721833493716386e-15
369.192332873907 -1.2203087676410147e-15
369.3404254101335 -3.1462492817430212e-15
369.48851794635993 -3.0986653019762073e-16
369.6366104825864 4.497937573523411e-15
369.7847030188128 -3.209152433794081e-16
369.93279555503926 -6.96913690916604e-16
370.0808880912657 6.224784294574918e-15
370.2289806274922 4.103928934094016e-15
370.37707316371865 -8.135084730811607e-16
370.5251656999451 3.603316413163133e-16
370.67325823617153 3.2705345820668865e-16
370.821350772398 3.176834134494461e-15
370.9694433086245 1.8598404537933325e-17
371.1175358448509 3.731387534103498e-15
371.26562838107736 4.2039834019001336e-16
371.4137209173038 -5.492733640521796e-15
371.56181345353025 -3.4470137354074765e-16
371.7099059897567 3.043573020493049e-15
371.8579985259832 -3.733541236831734e-16
372.00609106220963 5.347091930368572e-15
372.1541835984361 9.189649377173716e-15
372.3022761346625 3.605643910103126e-15
372.45036867088896 1.4842003038427985e-15
372.5984612071154 -1.3664086744960836e-15
372.7465537433419 2.041808082586965e-15
372.89464627956835 3.844982189873226e-15
373.0427388157948 -2.030728304664057e-16
373.19083135202123 -1.1217096302176153e-15
373.3389238882477 3.899620879517812e-15
373.4870164244741 5.460355530044591e-15
373.6351089607006 2.186439846927446e-15
373.78320149692706 -7.681899437965902e-16
373.9312940331535 -1.1216589808420723e-15
374.07938656937995 1.7530717677645056e-15
374.2274791056064 5.897648914467231e-15
374.3755716418329 4.994325443994858e-15
374.52366417805933 -1.220439939150476e-15
374.6717567142858 -2.514369598034496e-15
374.8198492505122 2.743786020538688e-15
374.96794178673866 2.1758955600111455e-15
375.1160343229651 1.0217740415934885e-16
375.2641268591916 6.56938534843789e-16
375.41221939541805 2.893991585981199e-15
375.5603119316445 -2.6914347019871686e-15
375.70840446787093 -1.6820450946597892e-15
375.8564970040974 2.320271878819469e-15
376.0045895403238 1.1938279353414644e-15
376.1526820765503 -1.3053885454390592e-15
376.30077461277676 9.19055471687281e-16
376.4488671490032 2.285286676893179e-15
376.59695968522965 2.7117465560472083e-15
376.7450522214561 1.6367512901249304e-16
376.89314475768253 -2.427039176299097e-16
377.04123729390903 -6.025197042766179e-17
377.1893298301355 -2.014449879143114e-15
377.3374223663619 2.281621388484038e-16
377.48551490258836 -1.8400841281588126e-15
377.6336074388148 4.005406370983947e-16
377.7816999750413 9.891706206547036e-16
377.92979251126775 -1.5673929082433232e-15
378.0778850474942 -1.6968458662348776e-15
378.22597758372063 1.2650681820991155e-15
378.3740701199471 1.113408481934726e-15
378.5221626561735 7.830148197612586e-16
378.6702551924 1.0952528290076553e-15
378.81834772862646 -3.5022453636446507e-16
378.9664402648529 1.130892399776014e-15
379.11453280107935 1.4756614649986794e-15
379.2626253373058 -1.7360822371534694e-16
379.41071787353223 -1.4278312793225694e-15
379.55881040975873 1.2103547837383184e-16
379.7069029459852 2.352731692334684e-16
379.8549954822116 -9.724755900522634e-16
380.00308801843806 9.629196143151519e-17
380.1511805546645 1.755813147981771e-15
380.29927309089095 1.3923778815830667e-15
380.44736562711745 -1.609635296548076e-15
380.5954581633439 -1.8892152323684855e-15
380.74355069957033 9.735836619422844e-18
380.8916432357968 1.0395678087664955e-15
381.0397357720232 7.4075518989672e-16
381.1878283082497 1.1421247213490883e-17
381.33592084447616 -1.161860065105029e-16
381.4840133807026 -4.259305432860083e-16
381.63210591692905 2.782458704104434e-15
381.7801984531555 1.9575249291049306e-15
381.92829098938194 -2.0235888056928317e-15
382.07638352560843 -4.474412814688435e-16
382.2244760618349 2.156398489801767e-15
382.3725685980613 3.7857636353373748e-16
382.52066113428776 3.902861460121172e-18
382.6687536705142 5.586334050796086e-16
382.81684620674065 2.9514123958030255e-16
382.96493874296715 -3.250363817447867e-17
383.1130312791936 1.5875364969418651e-15
383.26112381542004 1.938412619671113e-15
383.4092163516465 -1.310839322560825e-15
383.5573088878729 -1.4940729635894943e-15
383.70540142409936 1.4295939301886181e-15
383.85349396032586 -5.141539355050322e-16
384.0015864965523 1.046589485880912e-15
384.14967903277875 1.514763205567475e-15
384.2977715690052 5.83506282678836e-16
384.44586410523164 7.553613590213967e-16
384.5939566414581 3.210294926249947e-16
384.7420491776846 1.2925409201599078e-15
384.890141713911 2.3933643851566464e-15
385.03823425013746 7.67650629015578e-16
385.1863267863639 1.3967636048514536e-16
385.33441932259035 7.358013729414092e-16
385.48251185881685 2.373408996507775e-16
385.6306043950433 4.633727924347212e-16
385.77869693126974 4.563864769240681e-16
385.9267894674962 3.063062060057735e-16
386.0748820037226 1.622445966219731e-16
386.22297453994906 9.240366910563886e-16
386.37106707617556 7.08028452124468e-16
386.519159612402 -7.627695914912553e-17
386.66725214862845 -4.835106937483629e-16
386.8153446848549 -4.236272231490724e-16
386.96343722108134 -3.8387757365693855e-16
387.1115297573078 9.080038081684836e-16
387.2596222935343 1.7859245294539982e-15
387.4077148297607 4.3666836839253173e-16
387.55580736598716 -4.024130937362892e-16
387.7038999022136 1.5508617928159766e-16
387.85199243844005 9.375306048127869e-16
